income_year,25-29,30-34,35-39,40-44,45-49,50-54,25-34,35-44,45-54
1975,53394.3484327172,63959.76986691718,64448.46682357567,60294.81958172596,59379.613002237405,58700.37325478755,57448.74205377788,62693.97971031623,59236.06949716261
1980,48194.57155543507,56181.66825195949,61556.08250567799,57174.693294651326,55485.73896650403,53767.84397533595,52650.02290745746,59736.90760157493,54732.94003138313
1985,46508.43054684671,54354.8372809687,59556.48479805936,58774.10058841363,56353.70188056621,52975.35084313625,50398.21331415885,59109.802338272035,54700.92096233795
1990,44627.90764455445,53088.01061947176,58222.52649903501,58740.67633419587,58697.377682293205,54161.192068245924,48668.683883853766,58501.140435223824,56501.9153638562
1995,42797.342636500936,50575.575687951205,55363.77400023259,56886.258544003125,58322.73683473652,55312.72933912917,46790.38602359163,55998.81210749238,57170.15753438139
2000,48103.663097438715,55074.192764188956,59102.8103707699,60226.73973748878,59778.37061617762,61069.813866342054,51621.85764090866,59914.77453270722,60865.60352541941
2005,46534.46909735088,53575.02475313297,60330.45377031979,59383.4587413218,60663.4247905414,59958.117979747985,49793.13806834491,59789.38303176165,60331.492209160715
2010,44592.50530686139,52676.94066810216,57943.69078371083,59235.79767346715,58752.53942233499,57652.50377194403,48542.12281924863,58684.02417782778,58279.16255183902
2015,46560.91531980311,54430.06183869497,58967.84162402752,60790.40978721392,62131.08514944558,58581.085233506026,50891.97382667467,59513.189891006405,60034.99307546069
2020,51564.463536879484,58369.57006519508,64819.21471986073,65415.064621692574,65013.03150027494,66575.32113997487,55498.20378783437,65804.16615828809,65350.80322324879
2024,54403.97313472106,61211.44031258264,65288.66367155885,66328.2886291439,65457.13087702816,65552.80340863825,57404.795163803494,65912.59804463226,66051.27535848222
