income_year,category,name,share,median_earnings,median_hours,ipf,median_earnings_real,ipf_real
1975,A1,"Sole earner, 1-person",0.10664091804934549,9200.0,2080.0,9200.0,53641.985130111534,53641.985130111534
1975,A2,"Sole earner, multi-person",0.33442239772833054,11000.0,2080.0,11000.0,64137.156133829005,64137.156133829005
1975,B,"Two earners, lower <40%",0.32103461841198483,15700.0,3150.0,10366.984126984127,91541.21375464686,60446.26178084618
1975,C,"Two earners, lower >=40%",0.09256936209707939,17500.0,4160.0,8750.0,102036.38475836432,51018.19237918216
1975,D,Three or more earners,0.14533270371325982,20779.53805113118,4626.3107866632445,9342.52823458205,121158.22512493104,54473.017460554074
2024,A1,"Sole earner, 1-person",0.19909655740976348,62000.0,2080.0,62000.0,61999.99999999999,61999.99999999999
2024,A2,"Sole earner, multi-person",0.2254488929373889,55000.0,2080.0,55000.0,54999.99999999999,54999.99999999999
2024,B,"Two earners, lower <40%",0.2754161805306162,135000.0,4056.0,69230.76923076923,135000.0,69230.76923076923
2024,C,"Two earners, lower >=40%",0.192258636857832,130000.0,4160.0,65000.0,129999.99999999999,64999.99999999999
2024,D,Three or more earners,0.10777973226439937,161000.0,5720.0,58545.454545454544,161000.0,58545.45454545454
