income_year,ipf_real,median_hh_hours,mean_hh_size,A1_real,A1_share,A2_real,A2_share,B_real,B_share,C_real,C_share,D_real,D_share,index_1975
1975,59214.10709410964,2600.0,3.5726287005719732,53641.985130111534,0.10664091804934549,64137.156133829005,0.33442239772833054,60446.26178084618,0.32103461841198483,51018.19237918216,0.09256936209707939,54473.017460554074,0.14533270371325982,100.0
1980,55386.4830536977,2720.0,3.2732307005116037,53058.888310760165,0.14101909689714007,57103.580097087375,0.2717799428562112,57514.65443198198,0.3376282954293216,49489.76941747573,0.10523849436113801,53748.56988962124,0.14433417045618926,93.535959202545
1985,54173.51788795286,2900.0,3.1081241253405594,55391.180297397776,0.15910940788494687,52475.85501858736,0.24161199459590382,56539.641770868555,0.3302773312904662,53058.92007434945,0.12671080494508927,51195.023584618204,0.14229046128359382,91.48751969164086
1990,54435.39080883347,3120.0,3.0496213723505234,57601.65263963276,0.17170681581903122,52801.514919663365,0.21342311220707066,54858.71679965025,0.3287045245152845,53401.53213465954,0.14843011939342818,53123.78010409583,0.13773542806518532,91.92976721293576
1995,53206.63207939959,3120.0,3.0205603523725704,55574.82283464567,0.17387566423010678,49399.842519685044,0.22073313272731912,55290.81952946907,0.32623231508017014,53001.914370078746,0.15432293960067983,51445.738550461145,0.12483594836172418,89.85465574079787
2000,57096.566324337735,3152.2730585253166,2.9896221335732007,58292.96167247387,0.1793362027100624,54649.65156794425,0.22313080610249894,58778.736353077824,0.3107851471818541,58298.304521670216,0.15943419180710147,54088.510642753754,0.12731365219848292,96.42392518660043
2005,56530.223693369524,3120.0,2.9965507967069756,57822.85714285714,0.1807770869280236,53004.28571428571,0.25152873021044103,59107.80952380953,0.2989564795509778,57019.7619047619,0.15661560905646446,54799.439775910374,0.11212209425409297,95.46749325042664
2010,55487.1129910406,2860.0,3.0080930206956267,56104.2622078732,0.18135238804052195,48911.40807865869,0.27662292510439185,60739.65709114478,0.2826244085271847,57542.83303371611,0.159849399199783,54421.993918344204,0.09955087912811855,93.70590170827758
2015,56523.65844195255,3054.425000172164,2.9974438096503375,57750.63453915467,0.1813637046965142,49508.56612183346,0.263027703256404,61543.5361472104,0.2897396193838393,58895.186843137846,0.16181215877039837,54452.05075705842,0.10405681389284407,95.45640594076488
2020,61491.91273550132,2860.0,2.9709649319840787,60601.94504870351,0.18211559528354296,54541.75054383316,0.2474767108995575,66906.7378592235,0.2925742866099715,63632.04230113868,0.17557172821104158,60730.0968684685,0.1022616789958865,103.84672800650618
2024,62617.77451966243,3120.0,2.9290182296487997,61999.99999999999,0.19909655740976348,54999.99999999999,0.2254488929373889,69230.76923076923,0.2754161805306162,64999.99999999999,0.192258636857832,58545.45454545454,0.10777973226439937,105.74806847993723
